#############################################
# loop   gs_energy       loss       val_loss
    1    -27.50896      0.02410      0.01900
    2    -27.64678      0.00779      0.00448
    3    -27.63055      0.00378      0.00183
    4    -27.61522      0.00431      0.00750
    5    -27.54473      0.02727      0.02829
    6    -29.63556      0.01915      0.01960
    7    -27.52002      0.02110      0.01374
    8    -27.66299      0.00736      0.00312
    9    -27.65366      0.00997      0.00665
   10    -27.57606      0.04507      0.03383
   11    -22.71722    115.38203    113.50300
   12    -27.63496      0.00562      0.00323
   13    -27.51316      0.02033      0.01613
   14    -27.66829      0.00982      0.00603
   15    -28.34998      0.02692      0.02655
   16    -36.49947      0.01893      0.10383
   17    -27.51011      0.02133      0.01782
   18    -27.58856      0.15826      0.12367
   19    -27.65070      0.14896      0.12640
   20    -27.66093      0.00892      0.00750
   21    -27.54234      0.03453      0.02586
   22    -27.66261      0.01129      0.01067
   23    -27.61767      0.00856      0.00379
   24    -27.63940      0.01844      0.01255
   25    -27.56021      0.03008      0.02933
   26    -27.71832      0.01285      0.00842
   27    -29.28625      0.01024      0.00742
   28    -27.65323      0.00799      0.00501
   29    -27.73715      0.01554      0.01163
   30    -27.53982      0.02778      0.02895
   31    -27.67942      0.01012      0.00974
   32    -27.68764      0.01099      0.00518
   33    -27.68183      0.01003      0.00720
   34    -27.64494      0.00542      0.00285
   35    -27.62069      0.00383      0.00085
   36    -27.73416      0.02004      0.01162
   37    -27.66135      0.01010      0.00913
   38    -27.66253      0.00643      0.00567
   39    -27.72532      0.01554      0.02249
   40    -27.63268      0.01040      0.00528
   41    -27.67446      0.00434      0.00404
   42    -27.53381      0.02591      0.02719
   43    -27.54786      0.02670      0.02281
   44    -27.64428      0.00698      0.00479
   45    -27.66146      0.14507      0.12635
   46    -27.65736      0.00652      0.00534
   47    -22.65646    115.47374    104.51968
   48    -27.66666      0.01071      0.01361
   49    -27.66961      0.01136      0.00757
   50    -37.22919      0.15484      0.15195
   51    -27.53885      0.02549      0.02126
   52    -27.63956      0.00765      0.00892
   53    -28.07765      0.04511      0.04171
   54    -27.72862      0.01790      0.02357
   55    -27.65069      0.00919      0.00564
   56    -39.36562      0.14691      0.15079
   57    -27.73904      0.01751      0.01360
   58    -27.63811      0.00645      0.00407
   59    -35.49838      0.01211      0.00609
   60    -27.53999      0.02682      0.02399
   61    -27.52481      0.02291      0.02015
   62    -27.66637      0.00648      0.01114
   63    -27.63567      0.00688      0.00212
   64    -27.63833      0.00421      0.00179
   65    -27.63340      0.00901      0.00446
   66    -27.53454      0.02154      0.01787
   67    -27.65240      0.01135      0.01163
   68    -27.64167      0.00661      0.00341
   69    -27.63195      0.00565      0.00445
   70    -27.59774      0.16153      0.11555
   71    -27.73130      0.01248      0.01084
   72    -27.64974      0.02244      0.01675
   73    -27.66039      0.01095      0.00536
   74    -27.61207      0.04126      0.03163
   75    -27.66387      0.01028      0.00715
   76    -22.77832    115.29216    123.01653
   77    -27.55297      0.01613      0.02148
   78    -27.52776      0.02266      0.02231
   79    -27.56327      0.02839      0.02968
   80    -27.52120      0.02264      0.02299
   81    -27.68477      0.01031      0.00651
   82    -27.61158      0.00508      0.00070
   83    -27.69136      0.01090      0.00724
   84    -27.51999      0.02589      0.02744
   85    -27.63956      0.00760      0.00449
   86    -36.27761      0.02366      0.02112
   87    -27.62816      0.00480      0.00228
   88    -27.53548      0.03587      0.04754
   89    -27.73048      0.01413      0.01015
   90    -27.63855      0.00606      0.00252
   91    -27.55700      0.16577      0.18198
   92    -27.62733      0.15157      0.16132
   93    -27.63605      0.00765      0.00189
   94    -27.52171      0.02153      0.01828
   95    -27.64367      0.00659      0.00252
   96    -27.58749      0.03825      0.03545
   97    -27.62667      0.00612      0.01107
   98    -27.52354      0.02415      0.01731
   99    -27.64475      0.00723      0.00549
  100    -27.66273      0.00899      0.00755
