#############################################
# loop   gs_energy       loss       val_loss
    1    -27.63492      0.00693      0.00819
    2    -27.56348      0.03270      0.03190
    3    -27.63467      0.01168      0.00968
    4    -27.62035      0.00796      0.00607
    5    -27.54576      0.02510      0.01921
    6    -27.51549      0.02152      0.05117
    7    -27.54270      0.01952      0.01545
    8    -27.65581      0.01107      0.00630
    9    -27.63181      0.01088      0.00588
   10    -27.54832      0.03386      0.02593
   11    -27.55881      0.04716      0.04960
   12    -27.53757      0.02063      0.01449
   13    -27.62195      0.03276      0.01204
   14    -27.61900      0.00702      0.02479
   15    -27.52956      0.02511      0.02345
   16    -27.62466      0.00800      0.00371
   17    -27.64522      0.01107      0.00582
   18    -27.54515      0.01991      0.01891
   19    -27.63040      0.00629      0.00221
   20    -27.55228      0.02411      0.02317
   21    -27.64286      0.01080      0.01210
   22    -27.54644      0.01187      0.01299
   23    -27.63240      0.00740      0.00336
   24    -27.63728      0.03429      0.03584
   25    -27.56080      0.02617      0.02547
   26    -27.53975      0.02170      0.02113
   27    -27.63300      0.00939      0.02219
   28    -27.66121      0.01225      0.00777
   29    -27.63426      0.01103      0.00949
   30    -27.56445      0.03117      0.03418
   31    -27.54955      0.02057      0.02101
   32    -27.63573      0.01060      0.01079
   33    -27.60515      0.00647      0.00295
   34    -27.61452      0.12649      0.11440
   35    -27.57492      0.01483      0.01132
   36    -27.55270      0.02386      0.01982
   37    -27.56662      0.02527      0.02133
   38    -27.53475      0.01977      0.01751
   39    -27.63797      0.00790      0.01056
   40    -27.61786      0.00841      0.01234
   41    -27.54374      0.02362      0.03164
   42    -27.66127      0.01327      0.00704
   43    -27.61465      0.00752      0.00334
   44    -27.63099      0.00983      0.01008
   45    -27.62738      0.00929      0.00717
   46    -27.53295      0.02037      0.02261
   47    -27.54549      0.02858      0.01828
   48    -27.63549      0.01078      0.00575
   49    -27.62062      0.00613      0.00185
   50    -27.63793      0.01077      0.02350
   51    -27.63527      0.00991      0.00585
   52    -27.61935      0.00791      0.00859
   53    -27.63041      0.00554      0.00232
   54    -27.61368      0.00561      0.00285
   55    -27.63978      0.00853      0.01549
   56    -27.63125      0.01130      0.01045
   57    -27.63412      0.01067      0.00916
   58    -27.66445      0.01806      0.05053
   59    -27.65059      0.00977      0.00662
   60    -27.54931      0.02557      0.01888
   61    -27.66790      0.01765      0.00961
   62    -27.66623      0.01558      0.01121
   63    -27.61420      0.00904      0.00674
   64    -27.53118      0.02420      0.02081
   65    -27.62241      0.11805      0.14067
   66    -27.54807      0.02227      0.02272
   67    -27.57375      0.00577      0.00714
   68    -27.56407      0.02337      0.02919
   69    -23.84581     93.71888    102.65278
   70    -27.60513      0.00594      0.02372
   71    -27.65479      0.01130      0.00983
   72    -27.54428      0.02118      0.01677
   73    -27.63190      0.00781      0.00487
   74    -27.59381      0.03313      0.03687
   75    -27.56262      0.02180      0.02075
   76    -27.60949      0.00899      0.01905
   77    -27.61006      0.00843      0.01242
   78    -27.59139      0.13093      0.10119
   79    -27.63577      0.01249      0.01518
   80    -23.76243     93.80836     93.81539
   81    -27.61273      0.00640      0.00413
   82    -27.64112      0.00953      0.00660
   83    -27.64184      0.00940      0.00741
   84    -27.61439      0.00661      0.01077
   85    -27.63508      0.00978      0.00553
   86    -27.63406      0.01180      0.01394
   87    -27.55280      0.02521      0.02154
   88    -27.61986      0.12359      0.14256
   89    -27.63582      0.00674      0.00482
   90    -27.60057      0.00759      0.00865
   91    -23.71691     93.87451     87.27061
   92    -27.61933      0.03731      0.03087
   93    -27.62940      0.01142      0.00535
   94    -27.52735      0.03604      0.02979
   95    -27.60203      0.00550      0.03723
   96    -27.63468      0.01131      0.00793
   97    -27.62770      0.01246      0.00735
   98    -27.62976      0.00707      0.00604
   99    -27.67389      0.02474      0.01326
  100    -27.62838      0.01740      0.01543
