#  6Li - NNLOopt data 
#  L-CCSD(T) results 
#  Energy   Nmax   HW     UVeff    Leff 
#  ====================================
  -103.362   4   21.00   500.00    5.02
  -107.835   4   25.40   550.00    4.57
  -105.804   4   30.20   600.00    4.19
   -95.792   4   35.50   650.00    3.86
   -77.185   4   41.10   700.00    3.59
   -48.513   4   47.20   750.00    3.35
    -9.307   4   53.70   800.00    3.14
    41.918   4   60.70   850.00    2.95
   104.224   4   68.00   900.00    2.79
   179.370   4   75.80   950.00    2.64
   265.486   4   84.00  1000.00    2.51
   358.602   4   92.60  1050.00    2.39
  -110.598   6   15.80   500.00    6.67
  -118.810   6   19.10   550.00    6.07
  -123.740   6   22.80   600.00    5.55
  -125.418   6   26.70   650.00    5.13
  -124.297   6   31.00   700.00    4.76
  -120.404   6   35.60   750.00    4.44
  -113.523   6   40.50   800.00    4.17
  -103.233   6   45.70   850.00    3.92
   -89.006   6   51.20   900.00    3.71
   -69.915   6   57.10   950.00    3.51
   -45.579   6   63.30  1000.00    3.33
   -15.380   6   69.80  1050.00    3.17
    21.315   6   76.60  1100.00    3.03
    65.146   6   83.70  1150.00    2.90
   116.734   6   91.10  1200.00    2.78
   177.465   6   98.90  1250.00    2.67
  -112.639   8   12.70   500.00    8.30
  -121.137   8   15.40   550.00    7.53
  -126.113   8   18.30   600.00    6.91
  -128.490   8   21.50   650.00    6.37
  -129.159   8   24.90   700.00    5.93
  -128.868   8   28.60   750.00    5.53
  -127.843   8   32.60   800.00    5.17
  -125.997   8   36.80   850.00    4.87
  -123.064   8   41.20   900.00    4.61
  -118.627   8   45.90   950.00    4.36
  -112.287   8   50.90  1000.00    4.14
  -103.833   8   56.10  1050.00    3.95
   -92.764   8   61.60  1100.00    3.77
   -78.948   8   67.30  1150.00    3.60
   -61.802   8   73.30  1200.00    3.45
   -41.269   8   79.50  1250.00    3.32
   -16.666   8   86.00  1300.00    3.19
    12.439   8   92.80  1350.00    3.07
#  184.881   8   99.80  1400.00    2.96
  -113.885  10   10.70   500.00    9.85
  -121.924  10   12.90   550.00    8.99
  -126.642  10   15.30   600.00    8.27
  -128.940  10   18.00   650.00    7.61
  -129.746  10   20.90   700.00    7.06
  -129.906  10   24.00   750.00    6.59
  -129.798  10   27.30   800.00    6.18
  -129.498  10   30.80   850.00    5.82
  -128.942  10   34.50   900.00    5.50
  -127.980  10   38.50   950.00    5.20
  -126.502  10   42.60  1000.00    4.95
  -124.250  10   47.00  1050.00    4.71
  -121.056  10   51.60  1100.00    4.50
  -116.720  10   56.40  1150.00    4.30
  -111.046  10   61.40  1200.00    4.12
  -103.841  10   66.60  1250.00    3.96
   -94.734  10   72.10  1300.00    3.80
   -83.864  10   77.70  1350.00    3.66
   -70.648  10   83.60  1400.00    3.53
   -55.340  10   89.60  1450.00    3.41
   -37.231  10   95.90  1500.00    3.30
  -114.379  12    9.20   500.00   11.46
  -122.337  12   11.10   550.00   10.45
  -126.944  12   13.20   600.00    9.58
  -129.064  12   15.50   650.00    8.84
  -129.814  12   18.00   700.00    8.20
  -130.005  12   20.60   750.00    7.68
  -130.031  12   23.50   800.00    7.18
  -129.998  12   26.50   850.00    6.76
  -129.908  12   29.70   900.00    6.39
  -129.726  12   33.10   950.00    6.05
  -129.398  12   36.70  1000.00    5.75
  -128.851  12   40.50  1050.00    5.47
  -128.016  12   44.40  1100.00    5.22
  -126.774  12   48.50  1150.00    5.00
  -125.004  12   52.80  1200.00    4.79
  -122.577  12   57.30  1250.00    4.60
  -119.356  12   62.00  1300.00    4.42
  -115.203  12   66.90  1350.00    4.26
  -110.091  12   71.90  1400.00    4.11
  -103.677  12   77.20  1450.00    3.96
   -96.063  12   82.60  1500.00    3.83
